Data,Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3]),Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3]),Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])
2023-09-01T01:00:00Z,9.9,17.1,23.8,16.4,48.9,0.4,0.4
2023-09-01T02:00:00Z,11.5,18.9,26.9,16.3,52,0.4,0.4
2023-09-01T03:00:00Z,10.8,17.1,24.4,17.6,51.4,0.4,0.3
2023-09-01T04:00:00Z,10.6,18.2,21.9,22.7,56.7,0.4,0.3
2023-09-01T05:00:00Z,11.1,19.2,23.4,38.6,82.6,0.5,0.3
2023-09-01T06:00:00Z,12.6,23.7,25.2,61.7,119.7,0.5,0.6
2023-09-01T07:00:00Z,12.1,23.9,32.7,64.5,131.7,0.5,0.5
2023-09-01T08:00:00Z,15,28.5,38.7,51.6,117.7,0.5,0.6
2023-09-01T09:00:00Z,10.2,23.2,41.5,38.4,100.4,0.4,0.4
2023-09-01T10:00:00Z,7,14.7,33.7,25.3,72.5,0.4,0.4
2023-09-01T11:00:00Z,6.7,14.4,43.5,37.2,100.4,0.4,0.3
2023-09-01T12:00:00Z,7.5,14.4,37.1,22.1,70.9,0.4,0.2
2023-09-01T13:00:00Z,7.4,15.5,37.2,18.9,66.1,0.4,0.3
2023-09-01T14:00:00Z,7.2,13.8,37.4,20.7,69.1,0.4,0.2
2023-09-01T15:00:00Z,7.1,14.2,40.3,22.8,75.3,0.4,0.3
2023-09-01T16:00:00Z,7.7,15.1,49.3,25.6,88.6,0.5,0.4
2023-09-01T17:00:00Z,8.3,17.2,50.7,32.4,100.5,0.5,0.5
2023-09-01T18:00:00Z,7.9,16.1,52.9,28,95.9,0.5,0.4
2023-09-01T19:00:00Z,9.3,19,65.9,43.6,132.7,0.7,0.4
2023-09-01T20:00:00Z,11,22.6,62.7,52.8,143.6,0.8,0.8
2023-09-01T21:00:00Z,14.1,25.3,56.5,40.8,119.1,0.7,0.7
