PROG.ID,ATHLETE.ID,ATHLETE.FIRST,ATHLETE.LAST,YOB,NATIONALITY,START.NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL.TIME,PROGRAM,SWIM_s,BIKE_s,RUN_s,TOTAL,T1_s,T2_s,region,region2
655047,96742,Alex,Yee,1998,GBR,56,00:20:37,00:00:50,00:51:57,00:00:22,00:29:47,1,01:43:33,Elite Men,1237,3117,1787,6213,50,22,WE,WE
655047,104034,Hayden,Wilde,1997,NZL,21,00:21:13,00:00:50,00:51:20,00:00:27,00:29:49,2,01:43:39,Elite Men,1273,3080,1789,6219,50,27,AUS,OTH
655047,63162,Léo,Bergere,1996,FRA,27,00:20:37,00:00:51,00:51:55,00:00:25,00:29:55,3,01:43:43,Elite Men,1237,3115,1795,6223,51,25,WE,WE
655047,30249,Pierre,Le Corre,1990,FRA,29,00:20:20,00:00:51,00:52:14,00:00:25,00:30:01,4,01:43:51,Elite Men,1220,3134,1801,6231,51,25,WE,WE
655047,86042,Vasco,Vilaca,1999,POR,48,00:21:03,00:00:52,00:51:30,00:00:27,00:30:04,5,01:43:56,Elite Men,1263,3090,1804,6236,52,27,WE,WE
655047,98121,Ricardo,Batista,2000,POR,47,00:21:10,00:00:46,00:51:29,00:00:27,00:30:06,6,01:43:58,Elite Men,1270,3089,1806,6238,46,27,WE,WE
655047,80795,Matthew,Hauser,1998,AUS,45,00:20:14,00:00:49,00:52:26,00:00:24,00:30:24,7,01:44:17,Elite Men,1214,3146,1824,6257,49,24,AUS,OTH
655047,74419,Alberto,Gonzalez Garcia,1998,ESP,15,00:20:23,00:00:46,00:52:15,00:00:22,00:30:36,8,01:44:22,Elite Men,1223,3135,1836,6262,46,22,WE,WE
655047,49411,Tyler,Mislawchuk,1994,CAN,49,00:20:49,00:00:51,00:51:45,00:00:25,00:30:35,9,01:44:25,Elite Men,1249,3105,1835,6265,51,25,NA,OTH
655047,105480,Miguel,Hidalgo,2000,BRA,25,00:20:57,00:00:53,00:51:36,00:00:25,00:30:36,10,01:44:27,Elite Men,1257,3096,1836,6267,53,25,SA,OTH
655047,94446,Csongor,Lehmann,1999,HUN,53,00:21:19,00:00:48,00:51:16,00:00:21,00:30:43,11,01:44:27,Elite Men,1279,3076,1843,6267,48,21,CEE,OTH
655047,41322,Kristian,Blummenfelt,1994,NOR,43,00:21:00,00:00:53,00:51:29,00:00:26,00:30:39,12,01:44:27,Elite Men,1260,3089,1839,6267,53,26,WE,WE
655047,79706,Charles,Paquet,1997,CAN,50,00:21:16,00:00:53,00:51:16,00:00:26,00:30:46,13,01:44:37,Elite Men,1276,3076,1846,6277,53,26,NA,OTH
655047,71738,Gianluca,Pozzatti,1993,ITA,3,00:20:31,00:00:51,00:52:01,00:00:27,00:30:51,14,01:44:41,Elite Men,1231,3121,1851,6281,51,27,WE,WE
